2020-09-13 09:38:29 startup archives install
2020-09-13 09:38:29 install base-passwd:arm64 <none> 3.5.47
2020-09-13 09:38:29 status half-installed base-passwd:arm64 3.5.47
2020-09-13 09:38:29 status unpacked base-passwd:arm64 3.5.47
2020-09-13 09:38:29 configure base-passwd:arm64 3.5.47 3.5.47
2020-09-13 09:38:29 status half-configured base-passwd:arm64 3.5.47
2020-09-13 09:38:30 status installed base-passwd:arm64 3.5.47
2020-09-13 09:38:30 startup archives install
2020-09-13 09:38:31 install base-files:arm64 <none> 1:2020.3.1
2020-09-13 09:38:31 status half-installed base-files:arm64 1:2020.3.1
2020-09-13 09:38:31 status unpacked base-files:arm64 1:2020.3.1
2020-09-13 09:38:31 configure base-files:arm64 1:2020.3.1 1:2020.3.1
2020-09-13 09:38:31 status half-configured base-files:arm64 1:2020.3.1
2020-09-13 09:38:33 status installed base-files:arm64 1:2020.3.1
2020-09-13 09:38:33 startup archives install
2020-09-13 09:38:33 upgrade dpkg 1.20.5kali2 1.20.5kali2
2020-09-13 09:38:33 status half-configured dpkg 1.20.5kali2
2020-09-13 09:38:33 status unpacked dpkg 1.20.5kali2
2020-09-13 09:38:33 status half-installed dpkg 1.20.5kali2
2020-09-13 09:38:34 status unpacked dpkg:arm64 1.20.5kali2
2020-09-13 09:38:34 configure dpkg:arm64 1.20.5kali2 1.20.5kali2
2020-09-13 09:38:34 status half-configured dpkg:arm64 1.20.5kali2
2020-09-13 09:38:34 status installed dpkg:arm64 1.20.5kali2
2020-09-13 09:38:34 startup archives install
2020-09-13 09:38:34 install libc6:arm64 <none> 2.31-2
2020-09-13 09:38:34 status half-installed libc6:arm64 2.31-2
2020-09-13 09:38:36 status unpacked libc6:arm64 2.31-2
2020-09-13 09:38:36 configure libc6:arm64 2.31-2 2.31-2
2020-09-13 09:38:36 status half-configured libc6:arm64 2.31-2
2020-09-13 09:38:38 status installed libc6:arm64 2.31-2
2020-09-13 09:38:38 startup archives install
2020-09-13 09:38:38 install perl-base:arm64 <none> 5.30.3-4
2020-09-13 09:38:38 status half-installed perl-base:arm64 5.30.3-4
2020-09-13 09:38:39 status unpacked perl-base:arm64 5.30.3-4
2020-09-13 09:38:39 configure perl-base:arm64 5.30.3-4 5.30.3-4
2020-09-13 09:38:39 status half-configured perl-base:arm64 5.30.3-4
2020-09-13 09:38:39 status installed perl-base:arm64 5.30.3-4
2020-09-13 09:38:39 startup archives install
2020-09-13 09:38:39 install mawk:arm64 <none> 1.3.4.20200120-2
2020-09-13 09:38:39 status half-installed mawk:arm64 1.3.4.20200120-2
2020-09-13 09:38:40 status unpacked mawk:arm64 1.3.4.20200120-2
2020-09-13 09:38:40 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2020-09-13 09:38:40 status half-configured mawk:arm64 1.3.4.20200120-2
2020-09-13 09:38:40 status installed mawk:arm64 1.3.4.20200120-2
2020-09-13 09:38:40 startup archives unpack
2020-09-13 09:38:40 install adduser:all <none> 3.118
2020-09-13 09:38:40 status half-installed adduser:all 3.118
2020-09-13 09:38:41 status unpacked adduser:all 3.118
2020-09-13 09:38:41 install apt:arm64 <none> 2.1.10
2020-09-13 09:38:41 status half-installed apt:arm64 2.1.10
2020-09-13 09:38:42 status unpacked apt:arm64 2.1.10
2020-09-13 09:38:42 upgrade base-files:arm64 1:2020.3.1 1:2020.3.1
2020-09-13 09:38:42 status half-configured base-files:arm64 1:2020.3.1
2020-09-13 09:38:42 status unpacked base-files:arm64 1:2020.3.1
2020-09-13 09:38:42 status half-installed base-files:arm64 1:2020.3.1
2020-09-13 09:38:42 status unpacked base-files:arm64 1:2020.3.1
2020-09-13 09:38:42 upgrade base-passwd:arm64 3.5.47 3.5.47
2020-09-13 09:38:42 status half-configured base-passwd:arm64 3.5.47
2020-09-13 09:38:42 status unpacked base-passwd:arm64 3.5.47
2020-09-13 09:38:42 status half-installed base-passwd:arm64 3.5.47
2020-09-13 09:38:42 status unpacked base-passwd:arm64 3.5.47
2020-09-13 09:38:42 install bash:arm64 <none> 5.0-7
2020-09-13 09:38:42 status half-installed bash:arm64 5.0-7
2020-09-13 09:38:43 status unpacked bash:arm64 5.0-7
2020-09-13 09:38:43 install bsdutils:arm64 <none> 1:2.36-3
2020-09-13 09:38:43 status half-installed bsdutils:arm64 1:2.36-3
2020-09-13 09:38:43 status unpacked bsdutils:arm64 1:2.36-3
2020-09-13 09:38:43 install coreutils:arm64 <none> 8.30-3
2020-09-13 09:38:43 status half-installed coreutils:arm64 8.30-3
2020-09-13 09:38:44 status unpacked coreutils:arm64 8.30-3
2020-09-13 09:38:44 install dash:arm64 <none> 0.5.10.2-7
2020-09-13 09:38:44 status half-installed dash:arm64 0.5.10.2-7
2020-09-13 09:38:45 status unpacked dash:arm64 0.5.10.2-7
2020-09-13 09:38:45 install debconf:all <none> 1.5.74
